spec,dem_cut,rep_cut,accuracy,macro_f1,n_partisan,coverage_partisan,precision_partisan
Single split at 0,0,0,0.6909036231718552,0.7331211689536887,212720,1,0.8532295975930801
80th pct (paper),-0.351,0.045,0.6675231634804986,0.5311536023898629,212720,0.9301758179766829,0.8603001005726069
75th pct,-0.527,0.393,0.6524297862945283,0.5689854148958411,212720,0.8366350131628432,0.8922846113649007
70th pct,-0.673,0.637,0.6311810520064866,0.5726735363585369,212720,0.7747555471981948,0.9042207201194131
